CarCount,BikeCount,BusCount,TruckCount,Weighted_Traffic_Index,Clearance_Time_min,Clearance_Distance_km,Estimated_Flow_Speed_kmph,EV_Distance_From_Signal_km,Cycle_Position_sec,Current_Signal_State,Queue_Length_m,CarCount_noisy,BikeCount_noisy,BusCount_noisy,TruckCount_noisy,Weighted_Traffic_Index_noisy,Estimated_Flow_Speed_kmph_noisy,Driver_Reaction_Delay_s,Avg_Vehicle_Length_m,Vehicles_In_Queue_est,Saturation_Flow_veh_per_s,Bottleneck_Factor,Truck_Penalty_s,Clearance_Time_model_s_no_noise,Clearance_Time_model_s,Clearance_Time_model_min,Clearance_Distance_model_km,Clearance_Distance_km_final,Clearance_Time_min_final
101,23,38,1,171.5,11.43,7.62,14.275,1.458100886,52,Red,205.8,106,26,40,1,152.99,14.81,1.489,5.640462428,31,0.6196,0.85,0.003870968,60.35437554,60.367,1.006,0.685,1.7253,2.504
137,36,30,0,200,13.33,8.89,10,3.405671307,63,Red,240,147,41,29,0,205.24,9.68,1.534,4.858525346,41,0.4588,0.85,0,106.6675966,103.399,1.723,1.2319,1.6148,2.462
139,15,21,3,184,12.27,8.18,12.4,4.336745625,123,Green,220.8,151,16,24,3,167.49,14.22,1.017,5.19742268,36,0.6374,0.85,0.01,67.47340913,74.354,1.239,0.7705,1.8819,2.75
19,3,29,9,82,5.47,3.64,27.7,3.968461732,87,Red,98.4,21,3,33,10,89.14,27.52,1.222,8.7,10,0.7882,1,0.12,14.02913524,12.292,0.205,0.1384,1.539,2.351
13,11,39,7,91,6.07,4.04,26.35,3.267252024,37,Red,109.2,11,10,36,6,98.75,24.2,1.537,8.5,11,0.7077,1,0.065454545,17.14576386,16.719,0.279,0.1981,1.7349,2.512
31,2,29,27,129.5,8.63,5.76,20.575,0.776383776,76,Red,155.4,31,2,25,26,114.45,19.85,0.751,8.691666667,16,0.5688,1,0.195,29.07539522,27.991,0.467,0.2866,2.476,3.841
18,24,21,22,105.5,7.03,4.69,24.175,1.839815317,160,Green,126.6,16,21,23,24,118.54,25.29,0.873,7.747619048,14,0.8031,1,0.205714286,18.51116354,17.677,0.295,0.2005,1.9963,2.855
26,12,14,13,79,5.27,3.51,28.15,4.367321144,26,Red,94.8,26,11,15,12,71.76,24.57,1.006,6.965625,12,0.8568,1,0.12,15.13160224,14.259,0.238,0.1578,1.4987,2.355
31,15,13,28,114,7.6,5.07,22.9,0.441070807,154,Green,136.8,30,17,15,24,117.86,23.61,1.36,7.193023256,17,0.8005,1,0.169411765,22.76613881,20.786,0.346,0.2253,2.1632,3.377
12,22,8,11,57,3.8,2.53,31.45,2.425470713,16,Red,68.4,13,21,9,12,65.3,35.52,1.366,6.169090909,10,1.3762,1,0.144,8.7763857,7.915,0.132,0.0897,1.0658,1.633
54,5,13,23,122,8.13,5.42,21.7,0.601727243,38,Red,146.4,52,5,13,25,136,23.98,0.908,7.221052632,18,0.8103,1,0.166666667,23.28866148,24.27,0.404,0.2504,1.0258,1.459
59,7,13,21,124,8.27,5.51,21.4,0.405066132,54,Red,148.8,52,8,13,19,140.98,18.62,0.397,6.732608696,19,0.669,1,0.12,28.91759791,32.556,0.543,0.3764,1.1464,1.659
58,8,6,23,117,7.8,5.2,22.45,1.181519295,114,Red,140.4,52,9,5,25,111.48,25.77,1.098,6.650549451,18,0.9358,1,0.166666667,20.49954591,20.554,0.343,0.2103,2.2062,3.452
53,8,9,25,120.5,8.03,5.36,21.925,0.473163719,14,Red,144.6,57,9,8,26,106.24,23.23,0.633,6.727,19,0.8352,1,0.164210526,23.54625267,22.119,0.369,0.2382,2.2869,3.275
54,7,7,20,108,7.2,4.8,23.8,3.660199044,144,Green,129.6,56,6,7,20,97.9,21.39,0.404,6.514606742,17,0.7906,1,0.141176471,22.04783268,19.793,0.33,0.2201,2.0521,2.951
39,10,4,29,108,7.2,4.8,23.8,1.491914039,72,Red,129.6,34,9,4,32,108.02,20.32,0.494,7.559493671,15,0.6594,1,0.256,23.49795268,25.825,0.43,0.2813,2.0888,3.15
38,9,8,22,98.5,6.57,4.38,25.225,0.478288317,110,Red,118.2,33,9,8,21,107.16,22.74,1.131,7.108450704,15,0.7789,1,0.168,20.55692785,23.465,0.391,0.2527,1.9036,2.778
36,5,10,23,99.5,6.63,4.42,25.075,1.631723416,124,Green,119.4,38,4,11,21,89.06,27.62,1.544,7.448648649,14,0.9081,1,0.18,17.14080432,16.365,0.273,0.1915,1.8829,2.73
68,6,12,24,137,9.13,6.09,19.45,2.464997894,63,Red,164.4,59,5,11,22,143.56,16.66,1.016,6.798969072,21,0.5933,1,0.125714286,36.53696121,34.246,0.571,0.407,1.2595,1.906
50,18,26,14,126,8.4,5.6,21.1,4.177280852,103,Red,151.2,55,17,27,14,119.33,19.41,1.085,6.576106195,20,0.7117,1,0.084,29.27072826,30.162,0.503,0.3552,2.4531,3.623
120,28,22,20,207,13.8,9.2,8.95,4.941348266,56,Red,248.4,127,30,19,20,197.14,9.64,1.473,5.482142857,38,0.4131,0.85,0.063157895,109.7566429,118.822,1.98,1.325,2.5062,3.597
60,14,28,9,127,8.47,5.64,20.95,3.700986085,161,Green,152.4,52,14,27,10,133.17,21.49,0.382,6.565048544,20,0.7891,1,0.06,25.78733012,25.442,0.424,0.3001,1.1011,1.659
105,14,8,19,162,10.8,7.2,15.7,3.512327281,160,Green,194.4,92,13,9,21,160.4,17.03,1.208,5.84,28,0.6917,0.85,0.09,48.9215022,50.831,0.847,0.6028,1.5924,2.356
89,27,18,8,145.5,9.7,6.47,18.175,3.379695692,104,Red,174.6,102,28,19,8,159.12,19.52,0.995,5.187261146,28,0.8762,0.85,0.034285714,38.624785,41.134,0.686,0.4504,1.3533,2.087
28,17,31,10,103,6.87,4.58,24.55,4.490171962,0,Red,123.6,27,16,36,11,92.37,21.24,1.226,7.536666667,14,0.6911,1,0.094285714,21.57784613,24.559,0.409,0.2634,1.99,2.843
79,14,23,6,132.5,8.83,5.89,20.125,3.490907037,136,Green,159,76,12,21,5,144.03,22.49,0.807,5.742105263,24,0.9268,1,0.025,26.7275546,24.042,0.401,0.25,1.096,1.668
15,11,30,14,93.5,6.23,4.16,25.975,1.41521311,157,Green,112.2,16,12,30,12,81.28,23.85,0.673,8.108571429,12,0.7273,1,0.12,17.29238127,19.873,0.331,0.2201,1.7961,2.674
77,27,23,18,161,10.73,7.16,15.85,2.630186933,157,Green,193.2,87,28,22,20,146.22,16.1,1.056,5.884713376,28,0.6497,1,0.085714286,44.2385282,42.807,0.713,0.5096,1.5072,2.235
19,14,24,6,74,4.93,3.29,28.9,2.173303713,127,Green,88.8,22,15,24,5,77.47,30.15,1.66,6.818181818,11,1.0713,1,0.054545455,11.98244427,12.785,0.213,0.1434,1.402,2.035
79,13,28,7,141.5,9.43,6.29,18.775,1.29157378,13,Red,169.8,85,11,31,6,156.57,16.91,1.344,6.130075188,24,0.6587,0.85,0.03,44.23918008,45.2,0.753,0.5157,1.3818,1.956
114,10,22,9,170,11.33,7.56,14.5,4.110145957,110,Red,204,110,11,23,10,157.39,16.57,0.797,5.764935065,30,0.6805,0.85,0.04,52.70197817,52.491,0.875,0.5471,1.599,2.499
150,30,22,5,208,13.87,9.24,8.8,1.046156955,86,Red,249.6,131,31,25,5,197.22,8.77,0.464,5.105729167,41,0.3989,0.85,0.014634146,121.3994016,128.613,2.144,1.3475,2.5314,3.718
142,23,25,7,205,13.67,9.11,9.25,4.868445115,110,Red,246,154,23,23,8,207.28,8.02,0.327,5.208653846,40,0.3589,0.85,0.024,131.4705975,127.359,2.123,1.4071,1.7922,2.747
111,36,25,6,178.5,11.9,7.93,13.225,4.12153676,141,Green,214.2,113,37,28,6,163.05,14.96,1.526,5.19076087,35,0.6712,0.85,0.020571429,62.89411402,55.839,0.931,0.6652,1.7549,2.774
143,37,38,8,234.5,15.63,10.42,5,4.629061391,142,Green,281.4,140,41,33,7,256.39,5.13,0.618,5.207239819,45,0.2295,0.65,0.018666667,302.2957919,301.289,5.021,3.2731,3.6304,5.488
120,37,43,10,223,14.87,9.91,6.55,1.791050884,161,Green,267.6,135,38,48,9,241.31,6.94,0.87,5.703913043,40,0.2876,0.65,0.027,214.8693976,216.282,3.605,2.5483,2.9164,4.321
147,20,49,7,244.5,16.3,10.87,5,1.968609055,139,Green,293.4,130,20,46,7,218.48,5.04,1.528,5.965517241,42,0.2009,0.85,0.02,247.5000394,225.366,3.756,2.3519,2.7778,4.051
140,22,27,5,201.5,13.43,8.96,9.775,3.820737609,9,Red,241.8,140,25,25,5,199.31,10.76,0.354,5.179487179,39,0.4835,0.85,0.015384615,95.26566784,107.716,1.795,1.2193,2.3804,3.757
128,37,20,9,194.5,12.97,8.64,10.825,1.563740208,31,Red,233.4,109,40,20,9,210.54,9.31,1.597,5.002808989,39,0.4308,0.85,0.027692308,108.1296898,99.289,1.655,1.121,1.497,2.295
114,23,42,10,208.5,13.9,9.27,8.725,1.224123942,122,Green,250.2,113,23,48,11,198.32,8.12,0.899,6.204615385,35,0.313,0.85,0.037714286,132.4909334,128.883,2.148,1.5145,2.6778,4.096
117,20,22,9,178,11.87,7.91,13.3,4.086183781,19,Red,213.6,101,21,19,10,185.11,13.18,0.541,5.439072848,33,0.5685,0.85,0.036363636,68.86853235,61.739,1.029,0.6315,1.7233,2.562
93,24,17,23,176.5,11.77,7.84,13.525,4.431513599,16,Red,211.8,82,23,16,21,152.68,11.81,0.901,5.904225352,31,0.475,0.85,0.081290323,77.76247608,78.598,1.31,0.83,1.8815,2.939
65,15,15,8,111,7.4,4.93,23.35,0.585844506,18,Red,133.2,58,14,17,8,114.62,24.79,0.711,5.868041237,19,1.0027,1,0.050526316,19.71036445,18.573,0.31,0.1971,2.0903,3.216
100,22,14,8,148,9.87,6.58,17.8,4.168066593,164,Orange,177.6,104,23,14,8,132.58,17.23,1.176,5.096644295,29,0.7851,1,0.033103448,38.14707313,38.024,0.634,0.4529,1.372,2.004
85,12,11,18,143.5,9.57,6.38,18.475,3.274540995,0,Red,172.2,91,14,10,20,157.73,17.22,0.741,5.812592593,25,0.7019,0.85,0.096,42.74006982,39.209,0.653,0.4115,1.3068,1.984
56,7,12,12,101.5,6.77,4.51,24.775,2.569750203,63,Red,121.8,57,8,12,14,97.1,21.08,0.3,6.273626374,17,0.8052,1,0.098823529,21.51159054,18.632,0.311,0.1917,1.919,2.854
50,12,15,18,114.5,7.63,5.09,22.825,0.734096045,120,Green,137.4,57,11,14,17,107,24.33,0.912,6.407070707,19,0.9124,1,0.107368421,21.84356833,23.673,0.395,0.2645,2.1947,3.097
74,9,11,12,119,7.93,5.29,22.15,1.1119406,133,Green,142.8,71,9,12,13,131.17,24.37,0.457,5.94,21,0.9754,1,0.074285714,22.06091458,22.995,0.383,0.2567,1.0117,1.574
73,15,18,7,121.5,8.1,5.4,21.775,1.300250467,62,Red,145.8,68,14,19,7,105.1,21.09,1.082,5.77962963,22,0.8641,1,0.038181818,26.58019802,25.31,0.422,0.2967,2.338,3.348
99,13,20,30,195.5,13.03,8.69,10.675,4.369170384,38,Red,234.6,110,15,20,26,189.44,10.88,0.525,6.16374269,33,0.4219,0.85,0.094545455,92.64023617,80.064,1.334,0.9535,2.114,3.175
110,14,17,8,158.5,10.57,7.04,16.225,2.163186153,100,Red,190.2,101,16,19,7,152.32,14.9,0.805,5.428671329,30,0.6438,0.85,0.028,55.65455584,61.758,1.029,0.6904,1.6428,2.416
82,5,12,34,170.5,11.37,7.58,14.425,0.283491643,60,Red,204.6,93,5,12,34,159.49,14.95,1.073,6.71875,27,0.5381,0.85,0.151111111,60.25534301,54.286,0.905,0.6447,1.685,2.48
58,19,12,17,119.5,7.97,5.31,22.075,2.389884146,61,Red,143.4,50,21,10,17,134.26,18.84,0.915,5.885714286,21,0.7602,1,0.097142857,28.63645225,32.337,0.539,0.3722,1.1129,1.665
70,10,14,32,160,10.67,7.11,16,2.390044787,149,Green,192,80,11,13,27,172.04,15.95,1.1,6.464122137,26,0.5934,0.85,0.124615385,52.77202909,52.433,0.874,0.5606,1.543,2.453
10,1,0,33,76.5,5.1,3.4,28.525,4.635757391,23,Red,91.8,9,1,0,35,66.49,29.76,1.272,10.27333333,8,0.7333,1,0.525,12.7065868,12.098,0.202,0.1436,1.4462,2.145
14,1,1,40,96,6.4,4.27,25.6,2.491330645,146,Green,115.2,16,1,1,38,102.18,28.81,0.537,9.657142857,11,0.751,1,0.414545455,15.59868261,16.73,0.279,0.1909,1.8225,2.63
17,1,1,17,53,3.53,2.36,32.05,2.25183762,6,Red,63.6,17,1,1,17,53.43,30.91,0.974,8.147222222,7,0.9386,1,0.291428571,8.723344617,9.71,0.162,0.1064,1.0078,1.532
12,4,1,22,59.5,3.97,2.64,31.075,4.382556958,93,Red,71.4,14,4,1,21,66.66,33.55,0.3,8.33,8,0.9988,1,0.315,8.624611534,8.29,0.138,0.0948,1.1129,1.617
15,0,0,16,47,3.13,2.09,32.95,1.370615298,155,Green,56.4,13,0,0,14,44.36,33.92,1.099,8.388888889,6,1.0034,1,0.28,7.358669125,7.154,0.119,0.0782,0.8829,1.262
13,4,0,25,65,4.33,2.89,30.25,3.308286013,26,Red,78,13,4,0,24,66.45,34.13,0.88,8.626829268,8,0.9847,1,0.36,9.364301818,9.177,0.153,0.0957,1.2134,1.722
14,5,1,12,42,2.8,1.87,33.7,3.013916462,24,Red,50.4,16,6,1,11,42.01,32.67,0.607,6.641176471,7,1.1877,1,0.188571429,6.68931564,7.537,0.126,0.0867,0.8,1.131
18,1,1,35,90,6,4,26.5,1.173071302,7,Red,108,18,1,1,35,89.72,25.06,1.126,9.341818182,10,0.6732,1,0.42,16.40042662,17.348,0.289,0.2028,1.7217,2.561
18,5,1,19,60,4,2.67,31,0.954554424,114,Red,72,19,5,1,17,59.21,34.6,1.469,7.369047619,9,1.1484,1,0.226666667,9.532657262,8.811,0.147,0.1015,1.1289,1.678
19,3,0,38,96.5,6.43,4.29,25.525,3.297841804,8,Red,115.8,20,3,0,38,87.98,22.07,0.81,9.039344262,12,0.6107,1,0.38,20.83958245,18.87,0.314,0.2006,1.8364,2.651
13,0,1,12,38.5,2.57,1.71,34.225,3.155029126,130,Green,46.2,13,0,1,11,41.45,30.49,0.622,8.06,5,0.9349,1,0.264,6.234165579,5.73,0.096,0.0683,0.725,1.125
20,0,1,38,97.5,6.5,4.33,25.375,3.466660783,103,Red,117,21,0,1,40,96.08,22.2,1.066,9.443548387,11,0.5904,1,0.436363636,20.13379995,18.706,0.312,0.1921,1.8473,2.648
20,1,1,24,70,4.67,3.11,29.5,3.915745259,114,Red,84,21,1,1,26,79.63,32.54,0.466,8.557142857,9,0.9457,1,0.346666667,10.32942674,9.493,0.158,0.1027,1.3056,2.056
17,3,1,17,54,3.6,2.4,31.9,3.969583505,58,Red,64.8,19,3,1,15,50.13,27.22,0.736,7.418421053,8,0.898,1,0.225,9.869685969,10.339,0.172,0.1105,1.0263,1.556
12,3,1,35,85,5.67,3.78,27.25,2.745650756,4,Red,102,10,3,1,35,89.66,30.21,1.489,9.824489796,9,0.7752,1,0.466666667,13.56557379,12.003,0.2,0.1237,1.5862,2.244
19,0,1,30,80.5,5.37,3.58,27.925,0.21935679,130,Green,96.6,18,0,1,26,91.14,27.52,1.025,8.977777778,10,0.7661,1,0.312,14.39012622,13.904,0.232,0.1522,1.5233,2.412
19,2,1,30,81.5,5.43,3.62,27.775,4.073142309,92,Red,97.8,22,2,1,31,85.5,23.64,0.3,8.671428571,10,0.679,1,0.372,15.3995405,15.977,0.266,0.181,1.5566,2.281
18,1,0,16,50.5,3.37,2.24,32.425,4.757534559,88,Red,60.6,20,1,0,15,56.12,31.47,0.3,7.55,7,1.0224,1,0.257142857,7.403778225,6.939,0.116,0.0818,0.9451,1.409
11,0,0,31,73,4.87,3.24,29.05,1.898577033,69,Red,87.6,11,0,0,31,80.17,26.32,1.065,10.03571429,8,0.6625,1,0.465,13.6054717,11.831,0.197,0.1418,1.3811,2.018
10,1,1,12,36,2.4,1.6,34.6,2.268799464,145,Green,43.2,10,1,1,12,34.49,35.89,1.345,8.408333333,5,1.0597,1,0.288,6.351316505,5.555,0.093,0.0648,0.6789,1.046
16,1,0,24,64.5,4.3,2.87,30.325,2.741178713,104,Red,77.4,15,1,0,27,66.44,31.96,0.353,9.146511628,8,0.8749,1,0.405,9.90190216,8.791,0.147,0.0972,1.2063,1.806
18,3,0,28,75.5,5.03,3.36,28.675,3.501167121,36,Red,90.6,16,3,0,28,67.71,28.57,1.18,8.795744681,9,0.8101,1,0.373333333,12.66307287,13.939,0.232,0.1604,1.4402,2.065
20,1,1,39,100,6.67,4.44,25,3.530443193,149,Green,120,20,1,1,40,101.07,21.55,1.532,9.4,12,0.5757,1,0.4,22.77618968,23.855,0.398,0.2796,1.9438,2.777
19,3,1,27,76,5.07,3.38,28.6,1.048214118,39,Red,91.2,18,3,1,26,69.85,29.94,1.755,8.529166667,10,0.8727,1,0.312,13.52569142,11.759,0.196,0.1299,1.4299,2.203
14,1,1,34,84,5.6,3.73,27.4,1.235458861,143,Green,100.8,14,1,1,39,90.14,30.21,1.132,9.887272727,9,0.7708,1,0.52,13.32818059,12.893,0.215,0.1498,1.5819,2.298
61,26,1,16,107.5,7.17,4.78,23.875,4.532169959,133,Green,129,53,28,1,17,108.4,25.45,1.203,5.08989899,21,1.161,1,0.097142857,19.38799815,18.1,0.302,0.2006,2.0324,2.916
72,26,6,4,102,6.8,4.53,24.7,2.77403141,89,Red,122.4,82,29,7,4,99.28,27.14,0.3,4.47704918,22,1.3767,1,0.021818182,16.30206079,16.684,0.278,0.182,1.9212,2.882
86,24,3,18,138.5,9.23,6.16,19.225,4.982975848,114,Red,166.2,99,26,3,20,128.89,17.5,1.84,5.170945946,27,0.7876,1,0.088888889,36.21024999,36.458,0.608,0.4068,1.2698,1.974
75,1,8,10,107.5,7.17,4.78,23.875,2.153303254,144,Green,129,79,1,8,10,123.58,26.66,0.77,5.768367347,19,1.0942,1,0.063157895,18.1974423,18.094,0.302,0.2067,0.8927,1.304
75,1,7,9,104,6.93,4.62,24.4,2.672726259,54,Red,124.8,76,1,7,10,90.64,23.1,0.627,5.753191489,18,0.9501,1,0.066666667,19.63904084,18.546,0.309,0.2135,1.9761,2.885
93,5,4,1,103.5,6.9,4.6,24.475,4.968589731,153,Green,124.2,88,5,4,1,89.33,20.9,0.898,4.704081633,22,1.0179,1,0.005454545,22.51657961,20.07,0.334,0.2179,1.9707,3.074
111,6,2,5,127,8.47,5.64,20.95,1.776624971,43,Red,152.4,121,6,2,5,116.23,23.11,1.605,4.755970149,26,1.1152,1,0.023076923,24.94228065,26.756,0.446,0.3007,2.4364,3.5
111,18,41,2,185.5,12.37,8.24,12.175,4.434563994,118,Red,222.6,117,16,42,2,211.72,13.79,1.883,5.883050847,32,0.5565,0.85,0.0075,69.54020139,77.465,1.291,0.9172,1.2833,1.952
114,27,46,0,196.5,13.1,8.73,10.525,3.031805154,128,Green,235.8,102,28,45,0,224.75,11.02,1.05,5.739428571,35,0.4541,0.65,0,119.6277447,135.568,2.259,1.6211,1.9765,3.127
139,19,50,2,227.5,15.17,10.11,5.875,2.85883874,74,Red,273,156,18,43,2,238.07,5.4,1.399,5.62283105,41,0.2266,0.65,0.005853659,279.7672679,242.722,4.045,2.5792,2.9557,4.615
109,14,38,1,175,11.67,7.78,13.75,2.236177404,75,Red,210,120,16,36,1,194.96,12.73,1.017,5.646242775,32,0.5319,0.85,0.00375,71.79920238,76.967,1.283,0.8132,1.8582,2.641
105,16,22,3,152,10.13,6.76,17.2,4.762677158,26,Red,182.4,119,16,20,3,138.96,17.03,0.585,5.191772152,29,0.7639,1,0.012413793,38.56049797,41.181,0.686,0.4705,1.4139,2.075
150,13,31,4,211,14.07,9.38,8.35,1.475342183,150,Green,253.2,160,13,33,4,240.88,9.35,1.591,5.497142857,39,0.3996,0.65,0.012307692,151.7534578,172.109,2.868,1.8862,2.2609,3.246
122,13,47,3,205,13.67,9.11,9.25,1.069008083,155,Green,246,126,12,53,3,183.03,8.28,0.751,6.224742268,34,0.3183,0.85,0.010588235,126.4291974,117.058,1.951,1.2016,2.3879,3.775
114,24,46,2,199,13.27,8.84,10.15,1.170921873,119,Red,238.8,111,21,43,2,175.19,11.14,1.614,5.843502825,35,0.4523,0.85,0.006857143,92.65881997,99.391,1.657,1.0773,2.2417,3.559
119,36,41,0,198.5,13.23,8.82,10.225,1.839657286,70,Red,238.2,134,31,45,0,175.41,9.58,1.519,5.494285714,37,0.41,0.85,0,107.688297,93.3,1.555,1.0875,2.2474,3.264
108,35,39,0,184,12.27,8.18,12.4,0.380770385,56,Red,220.8,120,34,34,0,188.04,13.55,1.246,5.187234043,36,0.6082,0.85,0,70.88253597,73.673,1.228,0.8575,1.9559,2.994
113,18,28,1,166,11.07,7.38,15.1,0.425743517,89,Red,199.2,98,16,28,1,179.99,17,1.732,5.523076923,31,0.7241,0.85,0.003870968,52.10265489,49.771,0.83,0.5525,1.5766,2.462
118,36,37,0,191.5,12.77,8.51,11.275,0.936609372,95,Red,229.8,101,37,32,0,183.84,11.03,1.893,5.135882353,37,0.4993,0.85,0,89.07387676,96.26,1.604,1.0649,2.1817,3.168
113,35,48,3,208.5,13.9,9.27,8.725,1.85359515,154,Green,250.2,109,39,54,3,238.39,8.37,0.93,5.808292683,37,0.3416,0.65,0.00972973,167.5763718,185.841,3.097,2.0912,2.4501,3.537
66,7,22,30,162.5,10.83,7.22,15.625,3.445324669,27,Red,195,72,8,24,26,159.3,17.04,0.676,7.033846154,24,0.5892,0.85,0.13,48.72740889,46.751,0.779,0.4961,1.5047,2.125
64,12,27,8,126.5,8.43,5.62,21.025,1.272019537,127,Green,151.8,73,13,28,9,113.23,21.21,0.3,6.243089431,21,0.8135,1,0.051428571,26.16581087,26.367,0.439,0.2942,2.4245,3.598
37,5,13,11,81,5.4,3.6,27.85,1.796639849,107,Red,97.2,33,5,14,12,80.17,29.39,1.898,7.1171875,12,1.0058,1,0.12,13.94880135,12.348,0.206,0.1265,1.5159,2.383
82,17,31,20,177,11.8,7.87,13.45,2.302522217,75,Red,212.4,84,19,32,19,186.51,13.95,0.824,6.442857143,29,0.5205,0.85,0.07862069,66.45045366,64.794,1.08,0.7171,1.79,2.815
63,5,23,12,124,8.27,5.51,21.4,0.106135851,0,Red,148.8,61,6,26,11,136.36,19.17,1.454,6.7625,19,0.686,1,0.069473684,29.22026669,28,0.467,0.303,1.0841,1.554
20,12,16,24,98,6.53,4.36,25.3,4.631550834,39,Red,117.6,23,11,17,24,96.79,27.92,0.703,7.977333333,13,0.8638,1,0.221538462,15.9743185,14.456,0.241,0.1651,1.8431,2.667
46,5,34,9,117.5,7.83,5.22,22.375,1.508869011,49,Red,141,51,5,38,9,120.8,20.33,1.615,7.422330097,17,0.6706,1,0.063529412,27.02896186,30.228,0.504,0.3433,1.0748,1.594
35,9,8,29,109.5,7.3,4.87,23.575,4.991743711,30,Red,131.4,39,8,8,26,101.86,26.63,0.72,7.282716049,16,0.8932,1,0.195,18.82812136,16.84,0.281,0.1835,2.0581,3.191
33,9,11,21,96,6.4,4.27,25.6,4.806364151,23,Red,115.2,33,10,10,19,100.2,23.68,0.523,7.006944444,14,0.8217,1,0.162857143,17.72370551,18.445,0.307,0.1888,1.8213,2.769
32,9,10,30,111.5,7.43,4.96,23.275,0.259804231,83,Red,133.8,31,10,10,33,127.76,24.91,0.917,7.898809524,15,0.7775,1,0.264,20.4736045,22.87,0.381,0.244,0.9514,1.429
62,10,6,22,120,8,5.33,22,4.978748512,8,Red,144,58,9,5,20,103.77,20.58,0.787,6.219565217,20,0.7918,1,0.12,26.16590376,29.4,0.49,0.3336,2.3322,3.537
62,10,11,22,127.5,8.5,5.67,20.875,1.440280747,23,Red,153,54,11,11,21,142.28,19.73,1.239,6.554639175,20,0.7256,1,0.126,28.92839581,31.473,0.525,0.3258,1.1274,1.609
54,10,12,25,127,8.47,5.64,20.95,2.678870618,122,Green,152.4,60,10,12,28,129.37,19.76,0.979,6.872727273,19,0.6971,1,0.176842105,28.41161603,25.651,0.428,0.2671,1.073,1.605
48,8,15,23,120.5,8.03,5.36,21.925,1.489962289,79,Red,144.6,53,9,16,24,111.54,23.56,1.251,7.046078431,18,0.8132,1,0.16,23.54577619,25.788,0.43,0.2933,2.32,3.685
20,10,12,24,91,6.07,4.04,26.35,0.718884176,155,Green,109.2,23,10,10,23,103.42,26.8,0.884,7.689393939,13,0.8567,1,0.212307692,16.27081452,15.18,0.253,0.1756,1.7214,2.455
35,10,5,30,107.5,7.17,4.78,23.875,3.539828758,62,Red,129,40,11,5,32,106.96,26.62,0.734,7.259090909,16,0.8952,1,0.24,18.84710098,21.235,0.354,0.2292,2.0495,3.081
112,15,40,10,199.5,13.3,8.87,10.075,4.75197662,85,Red,239.4,114,13,40,9,189.43,9.49,0.767,6.161363636,33,0.3682,0.85,0.032727273,106.2411434,112.905,1.882,1.2524,2.395,3.504
51,21,25,13,125,8.33,5.56,21.25,4.211488332,36,Red,150,55,20,28,14,113.06,22.47,1.818,6.491452991,20,0.8333,1,0.084,25.90296004,28.12,0.469,0.3347,2.4248,3.655
53,12,23,8,109.5,7.3,4.87,23.575,1.566196977,162,Orange,131.4,60,10,22,8,101.11,25.36,1.09,6.26,18,0.9705,1,0.053333333,19.69047398,17.239,0.287,0.2052,2.0711,3.134
63,22,18,15,131,8.73,5.82,20.35,0.527529023,74,Red,157.2,70,25,18,16,144.08,18.22,0.3,5.813953488,23,0.7429,1,0.083478261,31.34323058,32.121,0.535,0.3459,1.167,1.767
50,23,16,8,101.5,6.77,4.51,24.775,3.183792604,40,Red,121.8,46,25,17,9,104.98,24.04,0.792,5.639175258,18,1.0057,1,0.06,18.74998151,20.556,0.343,0.2397,1.9478,3.045
94,20,35,17,190.5,12.7,8.47,11.425,4.059403989,142,Green,228.6,93,22,36,19,214.12,11.37,1.039,6.365294118,31,0.4287,0.85,0.073548387,86.18506585,95.534,1.592,1.0774,1.447,2.142
7,27,39,17,113,7.53,5.02,23.05,4.808479553,156,Green,135.6,6,31,37,19,103.91,22.05,1.738,7.71827957,16,0.7026,1,0.1425,24.65305907,21.167,0.353,0.2531,2.1599,3.246
109,18,13,6,149.5,9.97,6.64,17.575,4.403539926,54,Red,179.4,124,16,13,6,132.51,16.64,1.411,5.042767296,30,0.7648,1,0.024,40.66094142,46.018,0.767,0.5095,1.4291,2.018
18,27,19,6,72,4.8,3.2,29.2,0.716895138,159,Green,86.4,19,26,17,6,61.33,30.83,0.631,5.754411765,13,1.268,1,0.055384615,10.93875055,9.44,0.157,0.1095,1.3457,2.089
21,30,5,5,53.5,3.57,2.38,31.975,0.895305607,56,Red,64.2,19,26,6,5,53.63,29.25,1.967,4.6125,11,1.4476,1,0.054545455,9.620329649,9.951,0.166,0.1153,1.0212,1.488
49,16,9,12,94.5,6.3,4.2,25.825,0.577890505,39,Red,113.4,52,15,8,13,108.63,27.45,0.988,5.738636364,17,1.1314,1,0.091764706,16.10539667,17.04,0.284,0.1893,1.7936,2.793
129,28,40,6,215,14.33,9.56,7.75,3.481550283,11,Red,258,134,26,38,7,227.58,8.76,1.499,5.618536585,39,0.3677,0.65,0.021538462,164.697041,145.296,2.422,1.6908,2.0843,3.039
141,18,28,8,208,13.87,9.24,8.8,3.695018218,9,Red,249.6,135,18,24,7,196.04,8.97,0.538,5.369021739,39,0.3913,0.85,0.021538462,117.8157433,101.84,1.697,1.0883,2.3111,3.263
131,14,43,7,216.5,14.43,9.62,7.525,1.835663874,143,Green,259.8,116,13,39,8,240.98,7.78,0.3,6.081818182,37,0.305,0.65,0.025945946,186.958985,202.939,3.382,2.1186,2.4937,3.586
